date,buy_price,sell_price
2017-05-24,36310,36510
2017-05-25,36340,36540
2017-05-26,36380,36580
2017-05-27,36380,36600
2017-05-28,36380,36600
2017-05-29,36330,36530
2017-05-30,36280,36480
2017-05-31,36200,36400
2017-06-01,36230,36430
2017-06-02,36220,36420
2017-06-03,36320,36540
2017-06-04,36320,36540
2017-06-05,36330,36530
2017-06-06,36350,36550
2017-06-07,36390,36590
2017-06-08,36340,36540
2017-06-09,36270,36470
2017-06-10,36220,36440
2017-06-11,36220,36440
2017-06-12,36240,36440
2017-06-13,36200,36400
2017-06-14,36240,36440
2017-06-15,36230,36430
2017-06-16,36160,36360
2017-06-17,36160,36360
2017-06-18,36160,36360
2017-06-19,36150,36350
2017-06-20,36140,36340
2017-06-21,36130,36330
2017-06-22,36170,36370
2017-06-23,36270,36470
2017-06-24,36270,36470
2017-06-25,36270,36470
2017-06-26,36150,36350
2017-06-27,36180,36380
2017-06-28,36190,36390
2017-06-29,36160,36360
2017-06-30,36170,36370
2017-07-01,36180,36380
2017-07-02,36180,36380
2017-07-03,36110,36310
2017-07-04,36030,36250
2017-07-05,36070,36290
2017-07-06,36070,36290
2017-07-07,36070,36290
2017-07-08,36040,36270
2017-07-09,36040,36270
2017-07-10,36020,36240
2017-07-11,36040,36260
2017-07-12,36100,36320
2017-07-13,36160,36360
2017-07-14,36120,36340
2017-07-15,36170,36400
2017-07-16,36170,36400
2017-07-17,36190,36410
2017-07-18,36190,36410
2017-07-19,36180,36380
2017-07-20,36160,36360
2017-07-21,36200,36400
2017-07-22,36230,36430
2017-07-23,36230,36430
2017-07-24,36190,36390
2017-07-25,36130,36330
2017-07-26,36060,36260
2017-07-27,36150,36350
2017-07-28,36100,36300
2017-07-29,36160,36360
2017-07-30,36160,36360
2017-07-31,36130,36330
2017-08-01,36120,36320
2017-08-02,36120,36320
2017-08-03,36150,36350
2017-08-04,36200,36400
2017-08-05,36150,36350
2017-08-06,36150,36350
2017-08-07,36160,36360
2017-08-08,36100,36300
2017-08-09,36120,36320
2017-08-10,36240,36440
2017-08-11,36330,36530
2017-08-12,36350,36550
2017-08-13,36350,36550
2017-08-14,36280,36480
2017-08-15,36190,36390
2017-08-16,36130,36330
2017-08-17,36250,36450
2017-08-18,36320,36520
2017-08-19,36300,36500
2017-08-20,36300,36500
2017-08-21,36280,36480
2017-08-22,36250,36450
2017-08-23,36230,36430
2017-08-24,36220,36420
2017-08-25,36250,36450
2017-08-26,36280,36480
2017-08-27,36280,36480
2017-08-28,36300,36500
2017-08-29,36530,36730
2017-08-30,36390,36590
2017-08-31,36360,36560
2017-09-01,36450,36650
2017-09-02,36450,36650
2017-09-03,36450,36650
2017-09-04,36600,36850
2017-09-05,36580,36780
2017-09-06,36850,37050
2017-09-07,36850,37050
2017-09-08,37060,37280
2017-09-09,36940,37160
2017-09-10,36940,37160
2017-09-11,36780,36980
2017-09-12,36540,36740
2017-09-13,36580,36780
2017-09-14,36500,36700
2017-09-15,36650,36850
2017-09-16,36600,36800
2017-09-17,36600,36800
2017-09-18,36600,36800
2017-09-19,36560,36760
2017-09-20,36600,36800
2017-09-21,36480,36680
2017-09-22,36500,36700
2017-09-23,36530,36730
2017-09-24,36530,36730
2017-09-25,36500,36700
2017-09-26,36520,36720
2017-09-27,36400,36600
2017-09-28,36350,36550
2017-09-29,36450,36650
2017-09-30,36400,36600
2017-10-01,36400,36600
2017-10-02,36300,36500
2017-10-03,36250,36450
2017-10-04,36360,36560
2017-10-05,36400,36600
2017-10-06,36370,36570
2017-10-07,36410,36610
2017-10-08,36410,36610
2017-10-09,36410,36610
2017-10-10,36440,36640
2017-10-11,36430,36630
2017-10-12,36490,36690
2017-10-13,36460,36660
2017-10-14,36530,36730
2017-10-15,36530,36730
2017-10-16,36500,36700
2017-10-17,36350,36550
2017-10-18,36320,36520
2017-10-19,36320,36520
2017-10-20,36320,36520
2017-10-21,36340,36540
2017-10-22,36340,36540
2017-10-23,36330,36530
2017-10-24,36300,36500
2017-10-25,36270,36470
2017-10-26,36270,36470
2017-10-27,36290,36490
2017-10-28,36340,36540
2017-10-29,36340,36540
2017-10-30,36300,36500
2017-10-31,36380,36580
2017-11-01,36420,36620
2017-11-02,36420,36620
2017-11-03,36400,36600
2017-11-04,36380,36580
2017-11-05,36380,36580
2017-11-06,36420,36620
2017-11-07,36430,36630
2017-11-08,36440,36640
2017-11-09,36450,36650
2017-11-10,36420,36620
2017-11-11,36410,36610
2017-11-12,36410,36610
2017-11-13,36420,36620
2017-11-14,36350,36550
2017-11-15,36420,36620
2017-11-16,36360,36560
2017-11-17,36350,36550
2017-11-18,36430,36630
2017-11-19,36430,36630
2017-11-20,36370,36570
2017-11-21,36400,36600
2017-11-22,36420,36620
2017-11-23,36400,36600
2017-11-24,36400,36600
2017-11-25,36400,36600
2017-11-26,36400,36600
2017-11-27,36400,36600
2017-11-28,36380,36580
2017-11-29,36400,36600
2017-11-30,36310,36510
2017-12-01,36330,36530
